Month start date,case count
2013-01-01,60827
2013-02-01,33866
2013-03-01,83264
2013-04-01,172885
2013-05-01,255512
2013-06-01,301218
2013-07-01,269407
2013-08-01,157863
2013-09-01,183187
2013-10-01,134032
2013-11-01,105119
2013-12-01,98379
2014-01-01,54849
2014-02-01,40802
2014-03-01,153141
2014-04-01,426347
2014-05-01,528777
2014-06-01,484724
2014-07-01,321477
2014-08-01,143653
2014-09-01,195485
2014-10-01,213067
2014-11-01,150603
2014-12-01,106656
2015-01-01,57763
2015-02-01,33003
2015-03-01,61378
2015-04-01,173384
2015-05-01,304863
2015-06-01,354308
2015-07-01,262239
